r_1033 FALSE business [12, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
r_1045 FALSE business [3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_1072 FALSE business [13, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_109 FALSE business [21, 9, 5, 5, 0, 7, 2, 4, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_1114 FALSE business [8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_1203 FALSE business [17, 3, 0, 0, 1, 0, 0, 0, 0, 1, 36, 39, 13, 11, 5, 1, 1, 2, 0, 0, 0, 0, 0, 0]
r_1304 FALSE business [3, 4, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_1328 FALSE business [22, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]
r_1335 FALSE business [12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_1408 FALSE business [29, 5, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
r_1601 FALSE business [43, 2, 3, 3, 0, 2, 2, 0, 1, 0, 0, 4, 2, 2, 3, 10, 17, 6, 4, 1, 6, 0, 0, 1]
r_1611 FALSE business [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5]
r_1627 FALSE business [15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]
r_1635 FALSE business [43, 4, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]
r_1837 FALSE business [98, 47, 30, 19, 9, 12, 7, 1, 4, 4, 1, 0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]
